dataset,variable,current_predecessor,expected_predecessor,current_method,expected_method,current_origin,expected_origin,status,method_status,origin_status
ADSL,TRT01AN,Numeric actual treatment assignment from first non-missing SDTM.EX exposure record and config/study_config.yaml treatment map.,Numeric actual treatment assignment from first non-missing SDTM.EX exposure record and config/study_config.yaml treatment map.,,,Assigned,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,RANDDT,Randomization date from SDTM.DM.RFSTDTC or randomization source record.,Randomization date from SDTM.DM.RFSTDTC or randomization source record.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,TRTSDT,First exposure start date from SDTM.EX.EXSTDTC.,First exposure start date from SDTM.EX.EXSTDTC.,MT.TRTSDT,,Derived,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,TRTEDT,Last exposure end date from SDTM.EX.EXENDTC.,Last exposure end date from SDTM.EX.EXENDTC.,MT.TRTEDT,,Derived,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,TRTDURD,Derived from ADSL.TRTSDT and ADSL.TRTEDT.,Derived from ADSL.TRTSDT and ADSL.TRTEDT.,MT.TRTDURD,,Derived,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,ITTFL,Population flag from randomized subject records and protocol population rules.,Population flag from randomized subject records and protocol population rules.,MT.ITTFL,,Derived,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,SAFFL,Population flag from treated subject records using SDTM.EX exposure evidence.,Population flag from treated subject records using SDTM.EX exposure evidence.,MT.SAFFL,,Derived,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,PPROTFL,Protocol/per-protocol eligibility source records and protocol deviation review.,Protocol/per-protocol eligibility source records and protocol deviation review.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,DTHFL,Death flag from SDTM.DM.DTHFL and disposition/death records.,Death flag from SDTM.DM.DTHFL and disposition/death records.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,DTHDT,Death date from SDTM.DM.DTHDTC or disposition/death records.,Death date from SDTM.DM.DTHDTC or disposition/death records.,MT.DTHDT,MT.DTHDT,Derived,,MATCH,METHOD_MATCH,NOT_GOVERNED
ADSL,DTHCAUS,Death cause from disposition/death source records.,Death cause from disposition/death source records.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,LSTALVDT,Last known alive date from maximum non-death contact/assessment date across SDTM source domains.,Last known alive date from maximum non-death contact/assessment date across SDTM source domains.,MT.LSTALVDT,MT.LSTALVDT,Derived,,MATCH,METHOD_MATCH,NOT_GOVERNED
ADSL,ECOGBL,Baseline ECOG from SDTM.QS/VS assessment source before treatment start.,Baseline ECOG from SDTM.QS/VS assessment source before treatment start.,MT.ECOGBL,,Derived,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,MEASDISF,Measurable disease flag from baseline tumor/response source assessments.,Measurable disease flag from baseline tumor/response source assessments.,MT.MEASDISF,,Derived,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,VISCFL,Visceral disease flag from baseline lesion source assessments.,Visceral disease flag from baseline lesion source assessments.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,PAINBL,Baseline pain score from pain assessment source before treatment start.,Baseline pain score from pain assessment source before treatment start.,MT.PAINBL,,Derived,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,PSABL,Baseline PSA from SDTM.LB prostate-specific antigen records.,Baseline PSA from SDTM.LB prostate-specific antigen records.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,ALPBL,Baseline alkaline phosphatase from SDTM.LB records.,Baseline alkaline phosphatase from SDTM.LB records.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,ALBBL,Baseline albumin from SDTM.LB records.,Baseline albumin from SDTM.LB records.,,,Assigned,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,LDHBL,Baseline lactate dehydrogenase from SDTM.LB records.,Baseline lactate dehydrogenase from SDTM.LB records.,,,Assigned,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,HGBBL,Baseline hemoglobin from SDTM.LB records.,Baseline hemoglobin from SDTM.LB records.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,DOCPROG,Investigator-assessed progression source records.,Investigator-assessed progression source records.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,DOCRESP,Investigator-assessed response source records.,Investigator-assessed response source records.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADSL,ECOGBLIF,Imputation flag derived from ECOGBL source availability and baseline window rules.,Imputation flag derived from ECOGBL source availability and baseline window rules.,MT.ECOGBLIF,MT.ECOGBLIF,Derived,,MATCH,METHOD_MATCH,NOT_GOVERNED
ADSL,PSABLIF,Imputation flag derived from PSABL source availability and baseline window rules.,Imputation flag derived from PSABL source availability and baseline window rules.,MT.PSABLIF,MT.PSABLIF,Derived,,MATCH,METHOD_MATCH,NOT_GOVERNED
ADSL,ALPBLIF,Imputation flag derived from ALPBL source availability and baseline window rules.,Imputation flag derived from ALPBL source availability and baseline window rules.,MT.ALPBLIF,MT.ALPBLIF,Derived,,MATCH,METHOD_MATCH,NOT_GOVERNED
ADSL,HGBBLIF,Imputation flag derived from HGBBL source availability and baseline window rules.,Imputation flag derived from HGBBL source availability and baseline window rules.,MT.HGBBLIF,MT.HGBBLIF,Derived,,MATCH,METHOD_MATCH,NOT_GOVERNED
ADSL,ALBBLIF,Imputation flag derived from ALBBL source availability and baseline window rules.,Imputation flag derived from ALBBL source availability and baseline window rules.,MT.ALBBLIF,MT.ALBBLIF,Derived,,MATCH,METHOD_MATCH,NOT_GOVERNED
ADSL,LDHBLIF,Imputation flag derived from LDHBL source availability and baseline window rules.,Imputation flag derived from LDHBL source availability and baseline window rules.,MT.LDHBLIF,MT.LDHBLIF,Derived,,MATCH,METHOD_MATCH,NOT_GOVERNED
ADEX,STUDYID,Protocol identifier from config/study_config.yaml and SDTM study domain records.,Protocol identifier from config/study_config.yaml and SDTM study domain records.,,,Protocol,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADEX,USUBJID,SDTM.DM.USUBJID.,SDTM.DM.USUBJID.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADEX,SUBJID,SDTM.DM.SUBJID.,SDTM.DM.SUBJID.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADEX,TRT01P,Randomized/planned treatment assignment from SDTM.DM.ARM and config/study_config.yaml treatment map.,Randomized/planned treatment assignment from SDTM.DM.ARM and config/study_config.yaml treatment map.,,,Assigned,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADEX,TRT01PN,Numeric planned treatment assignment from config/study_config.yaml treatment map.,Numeric planned treatment assignment from config/study_config.yaml treatment map.,,,Assigned,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADEX,TRTSDT,Treatment start date inherited from ADSL.TRTSDT unless defined directly for ADSL.,Treatment start date inherited from ADSL.TRTSDT unless defined directly for ADSL.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADEX,PARAMCD,Analysis parameter code from dataset-specific parameter derivation and source test/category.,Analysis parameter code from dataset-specific parameter derivation and source test/category.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADEX,PARAM,Analysis parameter label from dataset-specific parameter derivation and source test/category.,Analysis parameter label from dataset-specific parameter derivation and source test/category.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADEX,PARCAT1,Analysis parameter category from dataset-specific parameter map.,Analysis parameter category from dataset-specific parameter map.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADEX,AVAL,Numeric exposure analysis value from SDTM.EX dose/duration fields by PARAMCD.,Numeric exposure analysis value from SDTM.EX dose/duration fields by PARAMCD.,MT.ADEX_AVAL,MT.ADEX_AVAL,Derived,,MATCH,METHOD_MATCH,NOT_GOVERNED
ADEX,AVALC,Character exposure analysis value from SDTM.EX dose/duration fields by PARAMCD.,Character exposure analysis value from SDTM.EX dose/duration fields by PARAMCD.,MT.ADEX_AVALC,MT.ADEX_AVALC,Derived,,MATCH,METHOD_MATCH,NOT_GOVERNED
ADEX,AVISIT,Analysis visit derived from source visit/date and dataset-specific visit window rules.,Analysis visit derived from source visit/date and dataset-specific visit window rules.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADCM,STUDYID,Protocol identifier from config/study_config.yaml and SDTM study domain records.,Protocol identifier from config/study_config.yaml and SDTM study domain records.,,,Protocol,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADCM,USUBJID,SDTM.DM.USUBJID.,SDTM.DM.USUBJID.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADCM,CMDECOD,SDTM.CM plus ADSL treatment and subject-level attributes.,SDTM.CM plus ADSL treatment and subject-level attributes.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADCM,CMCAT,SDTM.CM plus ADSL treatment and subject-level attributes.,SDTM.CM plus ADSL treatment and subject-level attributes.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADCM,CMINDC,SDTM.CM plus ADSL treatment and subject-level attributes.,SDTM.CM plus ADSL treatment and subject-level attributes.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADCM,ASTDT,Analysis start date derived from source start date.,Analysis start date derived from source start date.,MT.ADCM_ASTDT,MT.ADCM_ASTDT,Derived,Derived,MATCH,METHOD_MATCH,ORIGIN_MATCH
ADCM,AENDT,Analysis end date derived from source end date.,Analysis end date derived from source end date.,MT.ADCM_AENDT,MT.ADCM_AENDT,Derived,Derived,MATCH,METHOD_MATCH,ORIGIN_MATCH
ADCM,CMTRT,SDTM.CM plus ADSL treatment and subject-level attributes.,SDTM.CM plus ADSL treatment and subject-level attributes.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADCM,ASTDY,Analysis start relative day derived from ASTDT and ADSL.TRTSDT.,Analysis start relative day derived from ASTDT and ADSL.TRTSDT.,MT.ADCM_ASTDY,MT.ADCM_ASTDY,Derived,Derived,MATCH,METHOD_MATCH,ORIGIN_MATCH
ADCM,GCSFFL,SDTM.CM plus ADSL treatment and subject-level attributes.,SDTM.CM plus ADSL treatment and subject-level attributes.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADCM,GCSFPRFL,SDTM.CM plus ADSL treatment and subject-level attributes.,SDTM.CM plus ADSL treatment and subject-level attributes.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADCM,NACTFL,SDTM.CM plus ADSL treatment and subject-level attributes.,SDTM.CM plus ADSL treatment and subject-level attributes.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADCM,NACTDT,SDTM.CM plus ADSL treatment and subject-level attributes.,SDTM.CM plus ADSL treatment and subject-level attributes.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADCM,PREDNFL,SDTM.CM plus ADSL treatment and subject-level attributes.,SDTM.CM plus ADSL treatment and subject-level attributes.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADCM,TRTEMFL,SDTM.CM plus ADSL treatment and subject-level attributes.,SDTM.CM plus ADSL treatment and subject-level attributes.,,,Assigned,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADAE,STUDYID,Protocol identifier from config/study_config.yaml and SDTM study domain records.,Protocol identifier from config/study_config.yaml and SDTM study domain records.,,,Protocol,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADAE,USUBJID,SDTM.DM.USUBJID.,SDTM.DM.USUBJID.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADAE,AEDECOD,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADAE,AEBODSYS,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADAE,AEHLT,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADAE,AESEV,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADAE,ATOXGR,Numeric toxicity grade derived from SDTM.AE toxicity grade/severity source fields.,Numeric toxicity grade derived from SDTM.AE toxicity grade/severity source fields.,MT.ADAE_ATOXGR,MT.ADAE_ATOXGR,Derived,,MATCH,METHOD_MATCH,NOT_GOVERNED
ADAE,AESER,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADAE,AEREL,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADAE,ASTDT,Analysis start date derived from source start date.,Analysis start date derived from source start date.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADAE,AENDT,Analysis end date derived from source end date.,Analysis end date derived from source end date.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADAE,ASTDY,Analysis start relative day derived from ASTDT and ADSL.TRTSDT.,Analysis start relative day derived from ASTDT and ADSL.TRTSDT.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADAE,AENDY,Analysis end relative day derived from AENDT and ADSL.TRTSDT.,Analysis end relative day derived from AENDT and ADSL.TRTSDT.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADAE,AEACN,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADAE,AEOUT,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADAE,CQ02NAM,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADAE,CQ02CD,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADAE,CQ02SC,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADAE,CIAESEQ,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADAE,CIAESDT,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADAE,CIAEEDT,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADAE,CIAEDUR,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADAE,AEOCCFL,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADAE,TRTEMFL,Treatment-emergent flag derived from ADAE.ASTDT and ADSL.TRTSDT.,Treatment-emergent flag derived from ADAE.ASTDT and ADSL.TRTSDT.,,,Assigned,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADAE,ADURN,Adverse event duration derived from ADAE.ASTDT and ADAE.AENDT.,Adverse event duration derived from ADAE.ASTDT and ADAE.AENDT.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADAE,ADURU,Duration unit assigned by adverse-event derivation rule.,Duration unit assigned by adverse-event derivation rule.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADAE,AESEQ,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADAE,TRTA,Actual treatment assignment inherited from ADSL.TRT01A.,Actual treatment assignment inherited from ADSL.TRT01A.,,,Assigned,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADAE,TRTAN,Numeric actual treatment assignment inherited from ADSL.TRT01AN.,Numeric actual treatment assignment inherited from ADSL.TRT01AN.,,,Assigned,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADLB,STUDYID,Protocol identifier from config/study_config.yaml and SDTM study domain records.,Protocol identifier from config/study_config.yaml and SDTM study domain records.,,,Protocol,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADLB,USUBJID,SDTM.DM.USUBJID.,SDTM.DM.USUBJID.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADLB,SUBJID,SDTM.DM.SUBJID.,SDTM.DM.SUBJID.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADLB,TRT01P,Randomized/planned treatment assignment from SDTM.DM.ARM and config/study_config.yaml treatment map.,Randomized/planned treatment assignment from SDTM.DM.ARM and config/study_config.yaml treatment map.,,,Assigned,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADLB,TRTSDT,Treatment start date inherited from ADSL.TRTSDT unless defined directly for ADSL.,Treatment start date inherited from ADSL.TRTSDT unless defined directly for ADSL.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADLB,PARAMCD,Analysis parameter code from dataset-specific parameter derivation and source test/category.,Analysis parameter code from dataset-specific parameter derivation and source test/category.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADLB,PARAM,Analysis parameter label from dataset-specific parameter derivation and source test/category.,Analysis parameter label from dataset-specific parameter derivation and source test/category.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADLB,PARAMN,Numeric parameter ordering from dataset-specific parameter map.,Numeric parameter ordering from dataset-specific parameter map.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADLB,PARCAT1,Analysis parameter category from dataset-specific parameter map.,Analysis parameter category from dataset-specific parameter map.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADLB,AVAL,Numeric lab analysis value from SDTM.LB.LBSTRESN.,Numeric lab analysis value from SDTM.LB.LBSTRESN.,MT.ADLB_AVAL,MT.ADLB_AVAL,Derived,,MATCH,METHOD_MATCH,NOT_GOVERNED
ADLB,AVALC,Character lab analysis value from SDTM.LB.LBSTRESC.,Character lab analysis value from SDTM.LB.LBSTRESC.,MT.ADLB_AVALC,MT.ADLB_AVALC,Derived,,MATCH,METHOD_MATCH,NOT_GOVERNED
ADLB,LBNRLO,"SDTM.LB plus ADSL treatment, baseline, and subject-level attributes.","SDTM.LB plus ADSL treatment, baseline, and subject-level attributes.",,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADLB,LBNRHI,"SDTM.LB plus ADSL treatment, baseline, and subject-level attributes.","SDTM.LB plus ADSL treatment, baseline, and subject-level attributes.",,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADLB,LBNRIND,"SDTM.LB plus ADSL treatment, baseline, and subject-level attributes.","SDTM.LB plus ADSL treatment, baseline, and subject-level attributes.",,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADLB,AVISIT,Analysis visit derived from source visit/date and dataset-specific visit window rules.,Analysis visit derived from source visit/date and dataset-specific visit window rules.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADLB,AVISITN,Numeric analysis visit derived from AVISIT and dataset-specific visit ordering.,Numeric analysis visit derived from AVISIT and dataset-specific visit ordering.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADLB,AWDIST,"SDTM.LB plus ADSL treatment, baseline, and subject-level attributes.","SDTM.LB plus ADSL treatment, baseline, and subject-level attributes.",,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADLB,ATOXGR,"Analysis toxicity grade derived from SDTM.LB result, normal range, and grading rules.","Analysis toxicity grade derived from SDTM.LB result, normal range, and grading rules.",MT.ADLB_ATOXGR,MT.ADLB_ATOXGR,Derived,,MATCH,METHOD_MATCH,NOT_GOVERNED
ADLB,BASE,Baseline numeric value selected from pre-treatment ADLB.AVAL records.,Baseline numeric value selected from pre-treatment ADLB.AVAL records.,MT.ADLB_BASE,MT.ADLB_BASE,Derived,,MATCH,METHOD_MATCH,NOT_GOVERNED
ADLB,BASEC,Baseline character value selected from pre-treatment ADLB.AVALC records.,Baseline character value selected from pre-treatment ADLB.AVALC records.,MT.ADLB_BASEC,MT.ADLB_BASEC,Derived,,MATCH,METHOD_MATCH,NOT_GOVERNED
ADLB,BTOXGR,Baseline toxicity grade selected from pre-treatment records.,Baseline toxicity grade selected from pre-treatment records.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADLB,CHG,Change from baseline derived as ADLB.AVAL minus ADLB.BASE.,Change from baseline derived as ADLB.AVAL minus ADLB.BASE.,MT.ADLB_CHG,MT.ADLB_CHG,Derived,,MATCH,METHOD_MATCH,NOT_GOVERNED
ADLB,PCHG,Percent change from baseline derived as ADLB.CHG divided by ADLB.BASE.,Percent change from baseline derived as ADLB.CHG divided by ADLB.BASE.,MT.ADLB_PCHG,MT.ADLB_PCHG,Derived,,MATCH,METHOD_MATCH,NOT_GOVERNED
ADLB,ANL01FL,Analysis inclusion flag derived from dataset-specific record-selection rules.,Analysis inclusion flag derived from dataset-specific record-selection rules.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADLB,BASEFL,Baseline flag derived from pre-treatment record-selection rules.,Baseline flag derived from pre-treatment record-selection rules.,MT.ADLB_BASEFL,MT.ADLB_BASEFL,Derived,,MATCH,METHOD_MATCH,NOT_GOVERNED
ADLB,LBDY,"SDTM.LB plus ADSL treatment, baseline, and subject-level attributes.","SDTM.LB plus ADSL treatment, baseline, and subject-level attributes.",,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADLB,ADT,Analysis date from SDTM.LB.LBDTC.,Analysis date from SDTM.LB.LBDTC.,MT.ADLB_ADT,MT.ADLB_ADT,Derived,,MATCH,METHOD_MATCH,NOT_GOVERNED
ADRS,STUDYID,Protocol identifier from config/study_config.yaml and SDTM study domain records.,Protocol identifier from config/study_config.yaml and SDTM study domain records.,,,Protocol,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADRS,USUBJID,SDTM.DM.USUBJID.,SDTM.DM.USUBJID.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADRS,SUBJID,SDTM.DM.SUBJID.,SDTM.DM.SUBJID.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADRS,TRT01P,Randomized/planned treatment assignment from SDTM.DM.ARM and config/study_config.yaml treatment map.,Randomized/planned treatment assignment from SDTM.DM.ARM and config/study_config.yaml treatment map.,,,Assigned,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADRS,TRTSDT,Treatment start date inherited from ADSL.TRTSDT unless defined directly for ADSL.,Treatment start date inherited from ADSL.TRTSDT unless defined directly for ADSL.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADRS,PARAMCD,Analysis parameter code from dataset-specific parameter derivation and source test/category.,Analysis parameter code from dataset-specific parameter derivation and source test/category.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADRS,PARAM,Analysis parameter label from dataset-specific parameter derivation and source test/category.,Analysis parameter label from dataset-specific parameter derivation and source test/category.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADRS,AVALC,Character response result from response source assessments and response derivation rules.,Character response result from response source assessments and response derivation rules.,MT.ADRS_AVALC,MT.ADRS_AVALC,Derived,,MATCH,METHOD_MATCH,NOT_GOVERNED
ADRS,ADT,Analysis date derived from the source assessment date.,Analysis date derived from the source assessment date.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADRS,ADY,Analysis relative day derived from ADT and ADSL.TRTSDT.,Analysis relative day derived from ADT and ADSL.TRTSDT.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
