dataset,variable,origin,predecessor,method_oid,method_description,sas_producer,r_validation_producer,actual_xpt_variable_present,define_item_present,forward_tfl_consumers,traceability_status
ADSL,PAINBL,Derived,Baseline pain score from pain assessment source before treatment start.,MT.PAINBL,"Baseline pain assessment flag, set to Y if baseline pain intensity is >= 2 or baseline analgesic score is >= 10.",04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,PSABL,Collected,Baseline PSA from SDTM.LB prostate-specific antigen records.,,,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,ALPBL,Collected,Baseline alkaline phosphatase from SDTM.LB records.,,,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,ALBBL,Assigned,Baseline albumin from SDTM.LB records.,,,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,LDHBL,Assigned,Baseline lactate dehydrogenase from SDTM.LB records.,,,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,HGBBL,Collected,Baseline hemoglobin from SDTM.LB records.,,,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,DOCPROG,Collected,Investigator-assessed progression source records.,,,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,DOCRESP,Collected,Investigator-assessed response source records.,,,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,ECOGBLIF,Derived,Imputation flag derived from ECOGBL source availability and baseline window rules.,MT.ECOGBLIF,Baseline ECOG imputation flag derived from ECOGBL source availability and baseline window rules.,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,PSABLIF,Derived,Imputation flag derived from PSABL source availability and baseline window rules.,MT.PSABLIF,Baseline PSA imputation flag derived from PSABL source availability and baseline window rules.,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,ALPBLIF,Derived,Imputation flag derived from ALPBL source availability and baseline window rules.,MT.ALPBLIF,Baseline alkaline phosphatase imputation flag derived from ALPBL source availability and baseline window rules.,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,HGBBLIF,Derived,Imputation flag derived from HGBBL source availability and baseline window rules.,MT.HGBBLIF,Baseline hemoglobin imputation flag derived from HGBBL source availability and baseline window rules.,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,ALBBLIF,Derived,Imputation flag derived from ALBBL source availability and baseline window rules.,MT.ALBBLIF,Baseline albumin imputation flag derived from ALBBL source availability and baseline window rules.,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADSL,LDHBLIF,Derived,Imputation flag derived from LDHBL source availability and baseline window rules.,MT.LDHBLIF,Baseline lactate dehydrogenase imputation flag derived from LDHBL source availability and baseline window rules.,04_analysis_datasets/programs/sas/A_adsl_generation.sas,04_analysis_datasets/programs/r/v_adsl_validation.R,YES,YES,F-01-1; F-12-1; F-14-1; multiple population denominators,DOCUMENTED
ADEX,STUDYID,Protocol,Protocol identifier from config/study_config.yaml and SDTM study domain records.,,,04_analysis_datasets/programs/sas/A_adex_generation.sas,04_analysis_datasets/programs/r/v_adex_validation.R,YES,YES,F-14-1; F-17-1,DOCUMENTED
ADEX,USUBJID,Collected,SDTM.DM.USUBJID.,,,04_analysis_datasets/programs/sas/A_adex_generation.sas,04_analysis_datasets/programs/r/v_adex_validation.R,YES,YES,F-14-1; F-17-1,DOCUMENTED
ADEX,SUBJID,Collected,SDTM.DM.SUBJID.,,,04_analysis_datasets/programs/sas/A_adex_generation.sas,04_analysis_datasets/programs/r/v_adex_validation.R,YES,YES,F-14-1; F-17-1,DOCUMENTED
ADEX,TRT01P,Assigned,Randomized/planned treatment assignment from SDTM.DM.ARM and config/study_config.yaml treatment map.,,,04_analysis_datasets/programs/sas/A_adex_generation.sas,04_analysis_datasets/programs/r/v_adex_validation.R,YES,YES,F-14-1; F-17-1,DOCUMENTED
ADEX,TRT01PN,Assigned,Numeric planned treatment assignment from config/study_config.yaml treatment map.,,,04_analysis_datasets/programs/sas/A_adex_generation.sas,04_analysis_datasets/programs/r/v_adex_validation.R,YES,YES,F-14-1; F-17-1,DOCUMENTED
ADEX,TRTSDT,Collected,Treatment start date inherited from ADSL.TRTSDT unless defined directly for ADSL.,,,04_analysis_datasets/programs/sas/A_adex_generation.sas,04_analysis_datasets/programs/r/v_adex_validation.R,YES,YES,F-14-1; F-17-1,DOCUMENTED
ADEX,PARAMCD,Collected,Analysis parameter code from dataset-specific parameter derivation and source test/category.,,,04_analysis_datasets/programs/sas/A_adex_generation.sas,04_analysis_datasets/programs/r/v_adex_validation.R,YES,YES,F-14-1; F-17-1,DOCUMENTED
ADEX,PARAM,Collected,Analysis parameter label from dataset-specific parameter derivation and source test/category.,,,04_analysis_datasets/programs/sas/A_adex_generation.sas,04_analysis_datasets/programs/r/v_adex_validation.R,YES,YES,F-14-1; F-17-1,DOCUMENTED
ADEX,PARCAT1,Collected,Analysis parameter category from dataset-specific parameter map.,,,04_analysis_datasets/programs/sas/A_adex_generation.sas,04_analysis_datasets/programs/r/v_adex_validation.R,YES,YES,F-14-1; F-17-1,DOCUMENTED
ADEX,AVAL,Derived,Numeric exposure analysis value from SDTM.EX dose/duration fields by PARAMCD.,MT.ADEX_AVAL,"Numeric exposure analysis value derived from SDTM.EX dose, duration, or cycle records according to ADEX.PARAMCD.",04_analysis_datasets/programs/sas/A_adex_generation.sas,04_analysis_datasets/programs/r/v_adex_validation.R,YES,YES,F-14-1; F-17-1,DOCUMENTED
ADEX,AVALC,Derived,Character exposure analysis value from SDTM.EX dose/duration fields by PARAMCD.,MT.ADEX_AVALC,"Character exposure analysis value derived from SDTM.EX dose, duration, or cycle records according to ADEX.PARAMCD.",04_analysis_datasets/programs/sas/A_adex_generation.sas,04_analysis_datasets/programs/r/v_adex_validation.R,YES,YES,F-14-1; F-17-1,DOCUMENTED
ADEX,AVISIT,Collected,Analysis visit derived from source visit/date and dataset-specific visit window rules.,,,04_analysis_datasets/programs/sas/A_adex_generation.sas,04_analysis_datasets/programs/r/v_adex_validation.R,YES,YES,F-14-1; F-17-1,DOCUMENTED
ADCM,STUDYID,Protocol,Protocol identifier from config/study_config.yaml and SDTM study domain records.,,,04_analysis_datasets/programs/sas/A_adcm_generation.sas,04_analysis_datasets/programs/r/v_adcm_validation.R,YES,YES,No direct TFL consumer documented,DOCUMENTED
ADCM,USUBJID,Collected,SDTM.DM.USUBJID.,,,04_analysis_datasets/programs/sas/A_adcm_generation.sas,04_analysis_datasets/programs/r/v_adcm_validation.R,YES,YES,No direct TFL consumer documented,DOCUMENTED
ADCM,CMDECOD,Collected,SDTM.CM plus ADSL treatment and subject-level attributes.,,,04_analysis_datasets/programs/sas/A_adcm_generation.sas,04_analysis_datasets/programs/r/v_adcm_validation.R,YES,YES,No direct TFL consumer documented,DOCUMENTED
ADCM,CMCAT,Collected,SDTM.CM plus ADSL treatment and subject-level attributes.,,,04_analysis_datasets/programs/sas/A_adcm_generation.sas,04_analysis_datasets/programs/r/v_adcm_validation.R,YES,YES,No direct TFL consumer documented,DOCUMENTED
ADCM,CMINDC,Collected,SDTM.CM plus ADSL treatment and subject-level attributes.,,,04_analysis_datasets/programs/sas/A_adcm_generation.sas,04_analysis_datasets/programs/r/v_adcm_validation.R,YES,YES,No direct TFL consumer documented,DOCUMENTED
ADCM,ASTDT,Derived,Analysis start date derived from source start date.,MT.ADCM_ASTDT,Analysis medication start date derived from SDTM.CM.CMSTDTC.,04_analysis_datasets/programs/sas/A_adcm_generation.sas,04_analysis_datasets/programs/r/v_adcm_validation.R,YES,YES,No direct TFL consumer documented,DOCUMENTED
ADCM,AENDT,Derived,Analysis end date derived from source end date.,MT.ADCM_AENDT,Analysis medication end date derived from SDTM.CM.CMENDTC.,04_analysis_datasets/programs/sas/A_adcm_generation.sas,04_analysis_datasets/programs/r/v_adcm_validation.R,YES,YES,No direct TFL consumer documented,DOCUMENTED
ADCM,CMTRT,Collected,SDTM.CM plus ADSL treatment and subject-level attributes.,,,04_analysis_datasets/programs/sas/A_adcm_generation.sas,04_analysis_datasets/programs/r/v_adcm_validation.R,YES,YES,No direct TFL consumer documented,DOCUMENTED
ADCM,ASTDY,Derived,Analysis start relative day derived from ASTDT and ADSL.TRTSDT.,MT.ADCM_ASTDY,Analysis medication start relative day derived from ADCM.ASTDT and ADSL.TRTSDT.,04_analysis_datasets/programs/sas/A_adcm_generation.sas,04_analysis_datasets/programs/r/v_adcm_validation.R,YES,YES,No direct TFL consumer documented,DOCUMENTED
ADCM,GCSFFL,Collected,SDTM.CM plus ADSL treatment and subject-level attributes.,,,04_analysis_datasets/programs/sas/A_adcm_generation.sas,04_analysis_datasets/programs/r/v_adcm_validation.R,YES,YES,No direct TFL consumer documented,DOCUMENTED
ADCM,GCSFPRFL,Collected,SDTM.CM plus ADSL treatment and subject-level attributes.,,,04_analysis_datasets/programs/sas/A_adcm_generation.sas,04_analysis_datasets/programs/r/v_adcm_validation.R,YES,YES,No direct TFL consumer documented,DOCUMENTED
ADCM,NACTFL,Collected,SDTM.CM plus ADSL treatment and subject-level attributes.,,,04_analysis_datasets/programs/sas/A_adcm_generation.sas,04_analysis_datasets/programs/r/v_adcm_validation.R,YES,YES,No direct TFL consumer documented,DOCUMENTED
ADCM,NACTDT,Collected,SDTM.CM plus ADSL treatment and subject-level attributes.,,,04_analysis_datasets/programs/sas/A_adcm_generation.sas,04_analysis_datasets/programs/r/v_adcm_validation.R,YES,YES,No direct TFL consumer documented,DOCUMENTED
ADCM,PREDNFL,Collected,SDTM.CM plus ADSL treatment and subject-level attributes.,,,04_analysis_datasets/programs/sas/A_adcm_generation.sas,04_analysis_datasets/programs/r/v_adcm_validation.R,YES,YES,No direct TFL consumer documented,DOCUMENTED
ADCM,TRTEMFL,Assigned,SDTM.CM plus ADSL treatment and subject-level attributes.,,,04_analysis_datasets/programs/sas/A_adcm_generation.sas,04_analysis_datasets/programs/r/v_adcm_validation.R,YES,YES,No direct TFL consumer documented,DOCUMENTED
ADAE,STUDYID,Protocol,Protocol identifier from config/study_config.yaml and SDTM study domain records.,,,04_analysis_datasets/programs/sas/A_adae_io_respec.sas,04_analysis_datasets/programs/r/v_adae_io_validation.R,YES,YES,T-20,DOCUMENTED
ADAE,USUBJID,Collected,SDTM.DM.USUBJID.,,,04_analysis_datasets/programs/sas/A_adae_io_respec.sas,04_analysis_datasets/programs/r/v_adae_io_validation.R,YES,YES,T-20,DOCUMENTED
ADAE,AEDECOD,Collected,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,04_analysis_datasets/programs/sas/A_adae_io_respec.sas,04_analysis_datasets/programs/r/v_adae_io_validation.R,YES,YES,T-20,DOCUMENTED
ADAE,AEBODSYS,Collected,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,04_analysis_datasets/programs/sas/A_adae_io_respec.sas,04_analysis_datasets/programs/r/v_adae_io_validation.R,YES,YES,T-20,DOCUMENTED
ADAE,AEHLT,Collected,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,04_analysis_datasets/programs/sas/A_adae_io_respec.sas,04_analysis_datasets/programs/r/v_adae_io_validation.R,YES,YES,T-20,DOCUMENTED
ADAE,AESEV,Collected,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,04_analysis_datasets/programs/sas/A_adae_io_respec.sas,04_analysis_datasets/programs/r/v_adae_io_validation.R,YES,YES,T-20,DOCUMENTED
ADAE,ATOXGR,Derived,Numeric toxicity grade derived from SDTM.AE toxicity grade/severity source fields.,MT.ADAE_ATOXGR,Numeric adverse-event toxicity grade derived from SDTM.AE toxicity grade or severity source fields.,04_analysis_datasets/programs/sas/A_adae_io_respec.sas,04_analysis_datasets/programs/r/v_adae_io_validation.R,YES,YES,T-20,DOCUMENTED
ADAE,AESER,Collected,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,04_analysis_datasets/programs/sas/A_adae_io_respec.sas,04_analysis_datasets/programs/r/v_adae_io_validation.R,YES,YES,T-20,DOCUMENTED
ADAE,AEREL,Collected,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,04_analysis_datasets/programs/sas/A_adae_io_respec.sas,04_analysis_datasets/programs/r/v_adae_io_validation.R,YES,YES,T-20,DOCUMENTED
ADAE,ASTDT,Collected,Analysis start date derived from source start date.,,,04_analysis_datasets/programs/sas/A_adae_io_respec.sas,04_analysis_datasets/programs/r/v_adae_io_validation.R,YES,YES,T-20,DOCUMENTED
ADAE,AENDT,Collected,Analysis end date derived from source end date.,,,04_analysis_datasets/programs/sas/A_adae_io_respec.sas,04_analysis_datasets/programs/r/v_adae_io_validation.R,YES,YES,T-20,DOCUMENTED
ADAE,ASTDY,Collected,Analysis start relative day derived from ASTDT and ADSL.TRTSDT.,,,04_analysis_datasets/programs/sas/A_adae_io_respec.sas,04_analysis_datasets/programs/r/v_adae_io_validation.R,YES,YES,T-20,DOCUMENTED
ADAE,AENDY,Collected,Analysis end relative day derived from AENDT and ADSL.TRTSDT.,,,04_analysis_datasets/programs/sas/A_adae_io_respec.sas,04_analysis_datasets/programs/r/v_adae_io_validation.R,YES,YES,T-20,DOCUMENTED
ADAE,AEACN,Collected,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,04_analysis_datasets/programs/sas/A_adae_io_respec.sas,04_analysis_datasets/programs/r/v_adae_io_validation.R,YES,YES,T-20,DOCUMENTED
ADAE,AEOUT,Collected,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,04_analysis_datasets/programs/sas/A_adae_io_respec.sas,04_analysis_datasets/programs/r/v_adae_io_validation.R,YES,YES,T-20,DOCUMENTED
ADAE,CQ02NAM,Collected,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,04_analysis_datasets/programs/sas/A_adae_io_respec.sas,04_analysis_datasets/programs/r/v_adae_io_validation.R,YES,YES,T-20,DOCUMENTED
ADAE,CQ02CD,Collected,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,04_analysis_datasets/programs/sas/A_adae_io_respec.sas,04_analysis_datasets/programs/r/v_adae_io_validation.R,YES,YES,T-20,DOCUMENTED
ADAE,CQ02SC,Collected,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,04_analysis_datasets/programs/sas/A_adae_io_respec.sas,04_analysis_datasets/programs/r/v_adae_io_validation.R,YES,YES,T-20,DOCUMENTED
ADAE,CIAESEQ,Collected,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,04_analysis_datasets/programs/sas/A_adae_io_respec.sas,04_analysis_datasets/programs/r/v_adae_io_validation.R,YES,YES,T-20,DOCUMENTED
ADAE,CIAESDT,Collected,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,04_analysis_datasets/programs/sas/A_adae_io_respec.sas,04_analysis_datasets/programs/r/v_adae_io_validation.R,YES,YES,T-20,DOCUMENTED
ADAE,CIAEEDT,Collected,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,04_analysis_datasets/programs/sas/A_adae_io_respec.sas,04_analysis_datasets/programs/r/v_adae_io_validation.R,YES,YES,T-20,DOCUMENTED
ADAE,CIAEDUR,Collected,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,04_analysis_datasets/programs/sas/A_adae_io_respec.sas,04_analysis_datasets/programs/r/v_adae_io_validation.R,YES,YES,T-20,DOCUMENTED
ADAE,AEOCCFL,Collected,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,04_analysis_datasets/programs/sas/A_adae_io_respec.sas,04_analysis_datasets/programs/r/v_adae_io_validation.R,YES,YES,T-20,DOCUMENTED
ADAE,TRTEMFL,Assigned,Treatment-emergent flag derived from ADAE.ASTDT and ADSL.TRTSDT.,,,04_analysis_datasets/programs/sas/A_adae_io_respec.sas,04_analysis_datasets/programs/r/v_adae_io_validation.R,YES,YES,T-20,DOCUMENTED
ADAE,ADURN,Collected,Adverse event duration derived from ADAE.ASTDT and ADAE.AENDT.,,,04_analysis_datasets/programs/sas/A_adae_io_respec.sas,04_analysis_datasets/programs/r/v_adae_io_validation.R,YES,YES,T-20,DOCUMENTED
ADAE,ADURU,Collected,Duration unit assigned by adverse-event derivation rule.,,,04_analysis_datasets/programs/sas/A_adae_io_respec.sas,04_analysis_datasets/programs/r/v_adae_io_validation.R,YES,YES,T-20,DOCUMENTED
ADAE,AESEQ,Collected,SDTM.AE/SUPPAE plus ADSL treatment and subject-level attributes.,,,04_analysis_datasets/programs/sas/A_adae_io_respec.sas,04_analysis_datasets/programs/r/v_adae_io_validation.R,YES,YES,T-20,DOCUMENTED
ADAE,TRTA,Assigned,Actual treatment assignment inherited from ADSL.TRT01A.,,,04_analysis_datasets/programs/sas/A_adae_io_respec.sas,04_analysis_datasets/programs/r/v_adae_io_validation.R,YES,YES,T-20,DOCUMENTED
ADAE,TRTAN,Assigned,Numeric actual treatment assignment inherited from ADSL.TRT01AN.,,,04_analysis_datasets/programs/sas/A_adae_io_respec.sas,04_analysis_datasets/programs/r/v_adae_io_validation.R,YES,YES,T-20,DOCUMENTED
ADLB,STUDYID,Protocol,Protocol identifier from config/study_config.yaml and SDTM study domain records.,,,04_analysis_datasets/programs/sas/A_adlb_generation.sas,04_analysis_datasets/programs/r/v_adlb_validation.R,YES,YES,F-13-1; F-17-1; T-21,DOCUMENTED
